PI Name,Dept/Division list,Title list,Year list
"Smoot, George F","['The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)']","['Symantec 21st Century Teacher Fellows Program', 'Symantec 21st Century Teacher Fellows Program', 'Symantec 21st Century Teacher Fellows Program']","[2010, 2010, 2010]"
"Sommer, Friedrich",['Helen Wills Neuroscience Institute'],['Berkeley Course on Mining and Modeling of Neuroscience Data'],[2015]
"Sorensen, Janet",['English'],['Changing Conceptions of Work and the Humanities'],[2013]
"Spanos, Costas J","['ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization', 'ERSO Engineering Research Support Organization']","['Graduate Assistance in Areas of National Need', 'Graduate Assistance in Areas of National Need', 'Graduate Assistance in Areas of National Need', 'Graduate Assistance in Areas of National Need']","[2009, 2009, 2009, 2009]"
"Spear, Robert C","[""Dean's Office, Public Health"", 'Public Health', 'Public Health', 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'Public Health', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['Summer Training Program in Environmental Health Sciences for High School and Unde', 'Quantitative Microbial Risk Assessment', 'Quantitative Microbial Risk Assessment', 'Quantitative Microbial Risk Assessment', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Quantitative Microbial Risk Assessment', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Summer Training Program in Environmental Health Sciences for High School and Unde', 'Summer Training Program in Environmental Health Sciences for High School and Unde']","[2008, 2009, 2009, 2009, 2008, 2008, 2008, 2008, 2008, 2009, 2008, 2008, 2008, 2008]"
"Specht, Chelsea D","['University/Jepson Herbaria', 'University/Jepson Herbaria']","['DISSERTATION RESEARCH: Evolution of Floral Morphology in Zingiberales: The Role of Positive Selection on B Class MADS-Box Genes', 'DISSERTATION RESEARCH: Evolution of Floral Morphology in Zingiberales: The Role of Positive Selection on B Class MADS-Box Genes']","[2011, 2011]"
"Spiller, Pablo T",['Haas Centers and Institutes'],['Bradley Graduate and Post Graduate Fellowship Program'],[2015]
"Stamper-Kurn, Dan","['Physics', 'Physics']","['Support of the 2013 International Conference on Laser Spectroscopy', 'Support of the 2013 International Conference on Laser Spectroscopy']","[2013, 2013]"
"Stanley, Cara",['Student Learning Center'],"[""Community Educators' Institute: A Community-Centric Approach to College Academic Preparation and Outreach Efforts""]",[2007]
"Stark, Philip",['Office of the Vice Chancellor - Administration'],['An Introductory Statistics Mode with Field-Tested Online Assessments'],[2012]
"Staskawicz, Brian J","['Plant & Microbial Biology Department', 'Plant & Microbial Biology Department']","['Identification of Genetic Resistance Against Bacterial Spot in Tomato and High-Efficiency Targeted Genomic Engineering', 'Engineering Durable Disease Resistance to the Devastating Bacterial Blight of Cassava']","[2016, 2014]"
"Stephens, Richard S","['Public Health', 'Public Health']","['Characterization of a Transport System Within the Chlamydial Inclusion', 'Characterization of a Transport System Within the Chlamydial Inclusion']","[2009, 2009]"
"Stern, David S","['Education', 'Graduate Education', 'Graduate Education', 'Education']","['Building on the CASN College Access Project to Expand Awareness Statewide', 'To Increase the College-Going Rates and Career Success of Low-Income High School Students in Career Academy Programs', 'To Increase the College-Going Rates and Career Success of Low-Income High School Students in Career Academy Programs', 'Building on the CASN College Access Project to Expand Awareness Statewide']","[2007, 2007, 2007, 2007]"
"Stock, Laura","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['California Worker Training Program (WOSHTEP)', '2013-2015 Heat Illness Prevention Campaign', 'LETF Outreach and Education', 'WOSHTEP (California Worker Occupational Safety & Health Training and Education Program)', 'WOSHTEP (California Worker Occupational Safety and Health Training & Education Program)', 'LETF: Outreach and Education', 'Training for Immigrant and Temporary Workers – Food Manufacturing, Warehouse, and Other Hard to Reach Industries', 'Youth @ Work: Talking Safety Dissemination Project', 'Safe Patient Handling', 'California Worker Training Program (WOSHTEP)', 'Communications and Outreach Program with the California Agricltural Labor Relations Board', 'SASH (School Action for Safety And Health)', 'Sash (School Action for Safety and Health)', 'California Partnership for Young Worker Health and Safety', 'California Partnership for Young Worker Health and Safety', 'Aging Workforce', 'California Worker Training Program (WOSHTEP)', 'California Worker Training Program (WOSHTEP)', 'Safe Patient Handling', 'Youth @ Work: Talking Safety Dissemination Project', 'LETF: Outreach and Education', 'Communications and Outreach Program with the California Agricltural Labor Relations Board', 'Communications and Outreach Program with the California Agricltural Labor Relations Board', 'Communications and Outreach Program with the California Agricltural Labor Relations Board', 'California Worker Training Program (WOSHTEP)', 'California Worker Training Program (WOSHTEP)', 'California Worker Training Program (WOSHTEP)']","[2009, 2013, 2014, 2015, 2014, 2013, 2015, 2011, 2015, 2009, 2012, 2015, 2014, 2015, 2014, 2015, 2009, 2009, 2015, 2011, 2013, 2012, 2012, 2012, 2009, 2009, 2009]"
"Stovall, Tyler E",['Undergraduate & Interdisciplinary Studies'],['NIST-SURF Gaithersburg 2014'],[2014]
"Strauss, Herbert L",['Chemistry Department'],['FY 2007 Summer Undergraduate Research Fellowship (SURF) Program - Physics'],[2007]
"Suding, Katharine","['Environmental Science, Policy & Management', 'Environmental Science, Policy & Management', 'Environmental Science, Policy & Management', 'Environmental Science, Policy & Management', 'Environmental Science, Policy & Management']","['Collaborative Research: Dynamics of Plant-Soil Feedbacks in Changing Environments', 'Collaborative Research: Dynamics of Plant-Soil Feedbacks in Changing Environments', 'Collaborative Research: Dynamics of Plant-Soil Feedbacks in Changing Environments', 'Collaborative Research: Dynamics of Plant-Soil Feedbacks in Changing Environments', 'Collaborative Research: Dynamics of Plant-Soil Feedbacks in Changing Environments']","[2009, 2009, 2009, 2009, 2009]"
"Sul, Hei Sook","['Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology', 'Nutritional Science & Toxicology']","['AdPLA Function in Adipose Lipid Metabolism', 'AdPLA Function in Adipose Lipid Metabolism', 'AdPLA Function in Adipose Lipid Metabolism', 'AdPLA Function in Adipose Lipid Metabolism', 'AdPLA Function in Adipose Lipid Metabolism']","[2011, 2011, 2011, 2011, 2011]"
"Swartzberg, John E","['Public Health', 'Public Health']","['UC Berkeley/UCSF Joint Medical Program Wellpoint Health Equity Center', 'UC Berkeley/UCSF Joint Medical Program Wellpoint Health Equity Center']","[2007, 2007]"
"Tansman, Alan",['Townsend Center for the Humanities'],['Art of Writing'],[2015]
"Tilley, T Don","['Chemistry Department', 'Chemistry Department']","['A New Approach to Electrocatalytic CO2 Reduction Based on Supramolecular, Dinucleating Catalysts', 'A New Approach to Electrocatalytic CO2 Reduction Based on Supramolecular, Dinucleating Catalysts']","[2012, 2012]"
"Vogel, Steven K","['IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies', 'IEAS Institute of East Asian Studies']","['A New Vision for Training the Next Generation of Japan Specialists', 'A New Vision for Training the Next Generation of Japan Specialists', 'A New Vision for Training the Next Generation of Japan Specialists', 'A New Vision for Training the Next Generation of Japan Specialists', 'A New Vision for Training the Next Generation of Japan Specialists']","[2013, 2013, 2013, 2013, 2013]"
"Wakeman, Carolyn G","['Journalism Department', 'Journalism Department', 'Journalism Department']","['Visiting Scholar Program', 'Visiting Scholar Program', 'Visiting Scholar Program']","[2007, 2007, 2007]"
"Walker, Matthew P","['Psychology', 'Psychology', 'Psychology', 'Psychology']","['The Role of Hippocampal Processing and Slow-wave Activity in Memory Consolidation', 'Neural Consequences of Sleep Loss and Sleep Physiology on the Human Reward System', 'Neural Consequences of Sleep Loss and Sleep Physiology on the Human Reward System', 'Neural Consequences of Sleep Loss and Sleep Physiology on the Human Reward System']","[2015, 2013, 2013, 2013]"
"Wallis, Jonathan D","['Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute', 'Helen Wills Neuroscience Institute']","['The Neuronal Mechanisms Underlying Choice Behavior in the Frontal Lobe', 'The Neuronal Mechanisms Underlying Choice Behavior in the Frontal Lobe', 'The Neuronal Mechanisms Underlying Choice Behavior in the Frontal Lobe', 'The Neuronal Mechanisms Underlying Choice Behavior in the Frontal Lobe']","[2007, 2007, 2007, 2007]"
"Wasserman, Edward","['Journalism Department', 'Journalism Department', 'Journalism Department', 'Journalism Department', 'Journalism Department', 'Journalism Department']","['Earth Journalism Scholars Program Development', 'Earth Journalism Scholars Program Development', 'Journalism in the Digital Age', 'Mentorship Program for Daily Cal Staff by J-School Second-Year Students.', 'Earth Journalism Scholars Program Development', 'Earth Journalism Scholars Program Development']","[2012, 2012, 2015, 2014, 2012, 2012]"
"Welch, Matthew D","['MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology']","['The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function', 'The Molecular Basis of Cell Function']","[2012, 2012, 2012, 2012, 2012]"
"Wemmer, David E","['The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)', 'The California Institute for Quantitative Biosciences (QB3)']","['Molecular Biophysics Training Grant', 'Molecular Biophysics Training Grant    ', 'Molecular Biophysics Training Grant', 'Molecular Biophysics Training Grant    ', 'Molecular Biophysics Training Grant', 'Molecular Biophysics Training Grant    ', 'Molecular Biophysics Training Grant    ', 'Molecular Biophysics Training Grant    ', 'Molecular Biophysics Training Grant    ']","[2013, 2007, 2013, 2007, 2013, 2007, 2007, 2007, 2007]"
"Whitney, David",['Psychology'],['The Role of Serial Dependence in Visual Perception'],[2015]
"Wilbrecht, Linda","['Psychology', 'Psychology']","['Corticostriatal Circuits in Behavioral Flexibility', 'Does Acceleration of Puberty Accelerate Pre-frontal Cortex Development in Mice?']","[2016, 2016]"
"Wildsoet, Christine F","['Optometry', 'Optometry Department', 'Optometry Department', 'Optometry Department', 'Optometry Department', 'Optometry']","['Structural and Functional Changes in Myopia and Susceptibility to Glaucoma', 'Short Term Training for Optometry Students    ', 'Short Term Training for Optometry Students    ', 'Short Term Training for Optometry Students    ', 'Short Term Training for Optometry Students    ', 'Structural and Functional Changes in Myopia and Susceptibility to Glaucoma']","[2012, 2009, 2009, 2009, 2009, 2012]"
"Wilson, Mark","['Education', 'Education', 'Education', 'Education', 'Education', 'Education']","['Berkeley Research Experience and Methodology (BREM) Program', 'Berkeley Research Experience and Methodology (BREM) Program', 'Berkeley Research Experience and Methodology (BREM) Program', 'Berkeley Research Experience and Methodology (BREM) Program', 'Berkeley Research Experience and Methodology (BREM) Program', 'Berkeley Research Experience and Methodology (BREM) Program']","[2011, 2007, 2011, 2011, 2007, 2007]"
"Wilson, Michael","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['Health and Safety for All: Training and Services for Hard to Reach Workers in Small Business', 'Health and Safety for All: Training and Services for Hard to Reach Workers in Small Business', 'Health and Safety for All: Training and Services for Hard to Reach Workers in Small Business']","[2011, 2013, 2012]"
"Winoto, Astar","['Cancer Research Laboratory', 'Cancer Research Laboratory', 'Cancer Research Laboratory', 'Cancer Research Laboratory']","['The Mechanism of Nur77 and Nor1 Induced Apoptosis through Interaction with BcI2', 'The Mechanism of Nur77 and Nor1 Induced Apoptosis through Interaction with BcI2', 'The Mechanism of Nur77 and Nor1 Induced Apoptosis through Interaction with BcI2', 'The Mechanism of Nur77 and Nor1 Induced Apoptosis through Interaction with BcI2']","[2013, 2013, 2013, 2013]"
"Wittenberg, Jason",['Graduate Division Dean'],['National Resource Centers (NRC) Program for Foreign Language and Area Studies and Foreign Language and Area Studies (FLAS) Fellowships Program'],[2010]
"Wolch, Jennifer",['IURD Institute of Urban & Regional Development'],['The Global Urban Humanities Initiative 2016-20'],[2016]
"Wolfram, Catherine D",['Haas Centers and Institutes'],['Cleantech to Market'],[2015]
"Worrell, Frank Clayton","['Education', 'Education']","['After-School Programs: Effects on Academic Engagement and Violence Exposure in Black Males', 'After-School Programs: Effects on Academic Engagement and Violence Exposure in Black Males']","[2007, 2007]"
"Ying, Yu-Wen","['Social Welfare', 'Social Welfare', 'Social Welfare']","['Depression as a Culture-Bound Syndrome: Adapting the CES-D for Screening Depression ', 'Depression as a Culture-Bound Syndrome: Adapting the CES-D for Screening Depression ', 'Depression as a Culture-Bound Syndrome: Adapting the CES-D for Screening Depression ']","[2008, 2008, 2008]"
"You, Clare",['IEAS Institute of East Asian Studies'],['Comparative Studies in Korean and Japanese Literature'],[2008]
"Zemore, Sarah E","['SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs', 'SPH Divisional Rsrch and Cntrs']","['Graduate Research Training on Alcohol Problems', 'Graduate Research Training on Alcohol Problems', 'Graduate Research Training on Alcohol Problems', 'Graduate Research Training on Alcohol Problems', 'Graduate Research Training on Alcohol Problems', 'Graduate Research Training on Alcohol Problems', 'Graduate Research Training on Alcohol Problems', 'Graduate Research Training on Alcohol Problems']","[2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011]"
"Zilberman, David","['CNR Office of the Dean', 'CNR Natural Resources', 'CNR Office of the Dean', 'CNR Office of the Dean', 'CNR Office of the Dean', 'CNR Office of the Dean']","[""In Support of Your Organization Developing and Offering a Master's in Development Practice Degree Program"", 'Agriculture Bridge:  Connecting Students and Practitioners to Enhance Multidisciplinary Experiential Learning', 'Sustainable Environmental Management with the Bearhs Environmental Leadership Program at the College of Natural Resources  from June 28, 2013 - July 19, 2013.', ""In Support of Your Organization Developing and Offering a Master's in Development Practice Degree Program"", ""In Support of Your Organization Developing and Offering a Master's in Development Practice Degree Program"", ""In Support of Your Organization Developing and Offering a Master's in Development Practice Degree Program""]","[2010, 2008, 2013, 2010, 2010, 2010]"
"Zucker, Robert S","['MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology', 'MCB Molecular & Cell Biology']","['Training Grant in Physical Biosciences', 'Training Grant in Physical Biosciences', 'Training Grant in Physical Biosciences', 'Training Grant in Physical Biosciences', 'Training Grant in Physical Biosciences', 'Training Grant in Physical Biosciences']","[2007, 2007, 2007, 2007, 2007, 2007]"
