PI Name,Dept/Division list,Title list,Year list
"Luo, Kunxin",['MCB Molecular & Cell Biology'],['Role of SnoN in the Morphogenesis and Differentiation of Mammary Epithelial Cells'],[2008]
"Madanat, Samer M","['ITS Institute of Transportation Studies', 'ITS Institute of Transportation Studies', 'ITS Institute of Transportation Studies', 'ITS Institute of Transportation Studies', 'ITS Institute of Transportation Studies']","['California Cooperative Training Assistance Program (CTAP)', 'California Cooperative Training Assistance Program (CTAP)', 'Transportation Planning Training', 'California Cooperative Training Assistance Program (CTAP)', 'California Cooperative Training Assistance Program (CTAP)']","[2009, 2009, 2011, 2009, 2009]"
"Madsen, Kristine","[""Dean's Office, Public Health"", ""Dean's Office, Public Health"", ""Dean's Office, Public Health""]","['Bridging Health Care and Community: Reducing Pediatric Obesity through Community Referrals', 'Reducing Pediatric Obesity through after-School Program', 'Reducing Pediatric Obesity through after-School Program']","[2014, 2012, 2012]"
"Mahiri, Jabari","['Graduate Education', 'Education']","['Bay Area Writing Project (NCLB7 funding)', 'Request for Proposal No Child Left Behind (NCLB12)']","[2010, 2015]"
"Marletta, Michael","['Chemistry Department', 'Chemistry Department']","['Chemical Biology Graduate Program Student Support', 'Chemical Biology Graduate Program Student Support']","[2009, 2010]"
"Maslach, Christina","['Educational Technology Services', 'Educational Technology Services', 'Educational Technology Services', 'Division of Undergraduate Education', 'Division of Undergraduate Education', 'Educational Technology Services', 'Educational Technology Services', 'Educational Technology Services', 'Educational Technology Services', 'Educational Technology Services']","['Flexible User Interface', 'Flexible User Interface', 'OpenCast Planning Grant', 'Osher Lifelong Learning Institute (OLLI) at Berkeley', 'Osher Lifelong Learning Institute ', 'Flexible User Interface', 'Opencast Matterhorn Planning Leadership and Inception Meeting ', 'OpenCast Planning Grant', 'Flexible User Interface', 'Flexible User Interface']","[2007, 2007, 2008, 2009, 2007, 2007, 2009, 2008, 2007, 2007]"
"Matsui, John","['IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology', 'IB Integrative Biology']","['The UC Berkeley MARC: Leadership and Innovation in the Biological Sciences', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'The Berkeley Science Initiative: Improving Undergraduate STEM Education', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'Biology Scholars Program: Diversity in Health Professions', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'The UC Berkeley MARC: Leadership and Innovation in the Biological Sciences', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'The UC Berkeley MARC: Leadership and Innovation in the Biological Sciences', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'Biology Scholars Program: Diversity in Health Professions', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'Biology Scholars Program: Diversity in Health Professions', 'The UC Berkeley MARC: Leadership and Innovation in the Biological Sciences', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'The UC Berkeley Graduate/Undergraduate IMSD Program - An Integrated Approach', 'The UC Berkeley MARC: Leadership and Innovation in the Biological Sciences', 'The UC Berkeley MARC: Leadership and Innovation in the Biological Sciences', 'The UC Berkeley MARC: Leadership and Innovation in the Biological Sciences']","[2010, 2010, 2014, 2010, 2011, 2010, 2010, 2010, 2010, 2010, 2010, 2011, 2010, 2011, 2010, 2010, 2010, 2010, 2010, 2010, 2010]"
"McKoy, Deborah","['IURD Institute of Urban & Regional Development', 'IURD Institute of Urban & Regional Development', 'IURD Institute of Urban & Regional Development', 'IURD Institute of Urban & Regional Development']","['Healthy Planning and Policies for Healthy School Environments', 'Design, Development and Coordination of Tomodachi Y-PLAN Summer Leadership Program', 'AYUSA World Leaders (AWL) CC&S Partnership Proposal', 'Design, Development and Coordination of Tomodachi Y-PLAN Summer Leadership Program']","[2015, 2012, 2011, 2012]"
"Micco, Gaetan P","['Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health', 'Public Health']","['Northern California Geriatric Education Center', 'Geriatric Education Centers', 'Geriatric Education Centers', 'Northern California Geriatric Education Center', 'Northern California Geriatric Education Center', 'Geriatric Education Centers', 'Northern California Geriatric Education Center', 'Geriatric Education Centers', 'Northern California Geriatric Education Center']","[2010, 2007, 2007, 2010, 2010, 2007, 2010, 2007, 2010]"
"Midanik, Lorraine T","['Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare', 'Social Welfare']","['Title IV-E Social Work Training Program', 'Title IV-E Social Work Training Program', 'Title IVE Social Work Training Program', 'Title IV-E Social Work Training Program', 'Regional Training Academy Coordination Project for FY 2008/2011', 'Title IV-E Social Work Training Program', 'Regional Training Academy Coordination Project for FY 2008/2011', 'California Connected by 25 Initiative', 'Title IV-E Social Work Training Program', 'Title IV-E Social Work Training Program', 'Title IVE Social Work Training Program', 'Title IV-E Social Work Training Program', 'Regional Training Academy Coordination Project for FY 2008/2011', 'Ready to Succeed Initiative: Improving Education for Children and Youth in Foster Care', 'Regional Training Academy Coordination Project for FY 2008/2011', 'California Connected by 25 Initiatives', 'Birth to Six Implementation Project', 'California Connected by 25 Initiatives', 'Ready to Succeed Initiative: Improving Education for Children and Youth in Foster Care', 'Ready to Succeed Initiative: Improving Education for Children and Youth in Foster Care', 'Birth to Six Implementation Project', 'California Connected by 25 Initiative', 'California Connected by 25 Initiatives']","[2010, 2009, 2008, 2007, 2008, 2010, 2008, 2008, 2010, 2009, 2008, 2007, 2008, 2010, 2008, 2007, 2010, 2007, 2010, 2010, 2010, 2008, 2007]"
"Midgley, James",['Social Welfare'],['Mental Health Educational Stipend Program - Los Angeles County'],[2007]
